original,New
db_ref,db_ref
db_original_id,db_original
hierarchy,
last.updated.datetime,
default.language,
reporting.org.ref,
reporting.org.type,
reporting.org.type.code,
projecttitle,ProgramName
objectives,Objectives
activity.status.code,
start.planned,
end.planned,
start.actual,
end.actual,ExpectedEndDate
participating.org..Accountable.,
participating.org.ref..Accountable.,
participating.org.type..Accountable.,
participating.org.type.code..Accountable.,
participating.org..Funding.,
participating.org.ref..Funding.,
participating.org.type..Funding.,
participating.org.type.code..Funding.,
participating.org..Extending.,
participating.org.ref..Extending.,
participating.org.type..Extending.,
participating.org.type.code..Extending.,
participating.org..Implementing.,
participating.org.ref..Implementing.,
participating.org.type..Implementing.,
participating.org.type.code..Implementing.,
recipient.country.code,
recipientname,ListRecip
recipient.country.percentage,
recipient.region.code,
recipient.region,
recipient.region.percentage,
sector.code,
sector,
sector.percentage,
sector.vocabulary,
sector.vocabulary.code,
collaboration.type.code,
default.finance.type.code,
default.flow.type.code,
default.aid.type.code,
default.tied.status.code,
default.currency,
currency,commitmentCurrency
commitment,Commitment
usd_disbursement,usd_disbursements
total.Expenditure,
total.Incoming.Funds,
total.Interest.Repayment,
total.Loan.Repayment,
total.Reimbursement,
time.span,
commitmentdate,CommitmentDate
endyear,endyear
allDAC,
countrySpecific,
regionPRESS,
recipientcode,RecipientCode
usd_commitment,usd_commitment
data,
mine,
data2,
stats,
donorname,ReporterName
donorcode,ReporterId
donor_type,ReporterType
source,source
bi_multi,bi_multi
csa,
donoragency,
donoragencycode,
financing_approach,FinancingApproach
financing_instruments,FinancingInstruments
flowname,FinancingMechanism
gender,gen
isocode,
picked_up_by,
purposecode,
regionid,Region.ID
regionname,
reportedyear,reportedyear
reporteridentifier,
role,role
sdgfocus,
sectorcode,
shortdescription,
startyear,
usd_commitment_defl,
usd_costestimate,usd_costestimate
usd_disbursement_defl,
activity_status,
collaborators,collaborators
disbursement,disbursements
ignore,
iso3n,
nsds,nsds
recipient_institute,institutions
support_type,support
gentext,gend