donorcode,donorname,donornamefr,donor_type
1,Austria,Autriche,DAC
2,Belgium,Belgique,DAC
3,Denmark,Danemark,DAC
4,France,France,DAC
5,Germany,Allemagne,DAC
6,Italy,Italie,DAC
7,Netherlands,Pays-Bas,DAC
8,Norway,Norvège,DAC
9,Portugal,Portugal,DAC
10,Sweden,Suède,DAC
11,Switzerland,Suisse,DAC
12,United Kingdom,Royaume-Uni,DAC
18,Finland,Finlande,DAC
20,Iceland,Islande,DAC
21,Ireland,Irlande,DAC
22,Luxembourg,Luxembourg,DAC
40,Greece,Grèce,DAC
50,Spain,Espagne,DAC
61,Slovenia,Slovénie,DAC
68,Czech Republic,République tchèque,DAC
69,Slovak Republic,République slovaque,DAC
75,Hungary,Hongrie,DAC
76,Poland,Pologne,DAC
301,Canada,Canada,DAC
302,United States,Etats-Unis,DAC
701,Japan,Japon,DAC
742,Korea,Corée,DAC
801,Australia,Australie,DAC
820,New Zealand,Nouvelle-Zélande,DAC
918,EU Institutions,Institutions de l'UE,DAC
104,Nordic Development Fund,Fonds du dév. nordique,multilateral
807,UNEP,PNUE,multilateral
811,Global Environment Facility,Fonds pour l'environnement mondial,multilateral
812,Montreal Protocol,Protocole de Montréal,multilateral
901,International Bank for Reconstruction and Development,Banque internationale pour la reconstruction et le développement,multilateral
902,Multilateral Investment Guarantee Agency,Agence multilatérale de garantie des investissements,multilateral
903,International Finance Corporation,Société financière international,multilateral
905,International Development Association,Association internationale de développement,multilateral
906,Caribbean Development Bank,Banque de développement des Caraïbes,multilateral
907,International Monetary Fund,Fond monétaire international,multilateral
909,Inter-American Development Bank,Banque Interaméricaine de développement,multilateral
913,African Development Bank,Banque Africaine de développement,multilateral
914,African Development Fund,Fonds Africaine de développement,multilateral
915,Asian Development Bank,Banque Asiatique de développement,multilateral
921,Arab Fund (AFESD),Fonds arabe (FADES),multilateral
923,UN Peacebuilding Fund,Fonds de consolidation de la paix-ONU,multilateral
926,Council of Europe,Conseil de l'Europe,multilateral
928,World Health Organisation,Organisation mondiale de la santé,multilateral
932,Food and Agriculture Organisation,Organisation pour l'alimentation et l'agriculture,multilateral
940,International Labour Organisation,Organisation internationale du Travail,multilateral
944,International Atomic Energy Agency,Agence internationale de l'énergie atomique,multilateral
948,UNECE,CEE-ONU,multilateral
951,OPEC Fund for International Development,Fonds OPEP pour le développement international,multilateral
952,OAPEC,OAPEC,multilateral
953,Arab Bank for Economic Development in Africa,Banque arabe pour le développement économique en Afrique,multilateral
954,Special Arab Aid Fund for Africa,Fonds spécial arabe d'aide à l'Afrique,multilateral
956,IMF Trust Fund,IMF Trust Fund,multilateral
958,IMF (Concessional Trust Funds),FMI (Fonds fiduciaires concessionnels),multilateral
959,UNDP,PNUD,multilateral
960,UNTA,ATNU,multilateral
963,UNICEF,UNICEF,multilateral
964,UNRWA,UNRWA,multilateral
966,WFP,PAM,multilateral
967,UNHCR,HCR,multilateral
971,UNAIDS,UNAIDS,multilateral
974,UNFPA,FNUAP,multilateral
976,Islamic Development Bank,Banque de développement islamique,multilateral
978,OSCE,OSCE,multilateral
979,Islamic Monetary Fund,Fond monétaire islamique,multilateral
980,Arab Fund for Technical Assistance to African and Arab Countries,Fonds arabe pour l'assistance technique aux pays africains et arabes,multilateral
981,Black Sea Trade & Development Bank,Banque de développement de la mer Noire,multilateral
982,GODE,GODE,multilateral
983,Other Arab Agencies,Autres Agences Arabes,multilateral
988,IFAD,FIDA,multilateral
990,European Bank for Reconstruction and Development,Banque européenne pour la reconstruction et le développement,multilateral
992,UN AGENCIES,AGENCES DE L'ONU,multilateral
997,Global Partnership for Education,Partenariat mondial pour l'Éducation,multilateral
1011,Climate Investment Funds,Fonds d'investissement climatique,multilateral
1012,Adaptation Fund,Fonds d'adaptation,multilateral
1013,Council of Europe Development Bank,Banque de développement du Conseil de l'Europe,multilateral
1014,Private Infrastructure Development Group,Groupe du développement des infrastructures privées,multilateral
1015,Development Bank of Latin America,Banque de développement de l'Amérique latine,multilateral
1016,Green Climate Fund,Fonds vert pour le climat,multilateral
1017,Credit Guarantee and Investment Facility,Credit Guarantee and Investment Facility,multilateral
1018,Global Energy Efficiency and Renewable Energy Fund,Fonds mondial de l'efficacité énergétique et des énergies renouvelables,multilateral
1019,IDB Invest,BID Invest,multilateral
1020,Central Emergency Response Fund,Fonds central d'intervention pour les urgences humanitaires,multilateral
1023,World Tourism Organisation,Organisation mondiale du tourisme,multilateral
1024,Asian Infrastructure Investment Bank,Banque asiatique d'investissement dans les infrastructures,multilateral
1025,Center of Excellence in Finance,Centre d'excellence en finance,multilateral
1037,International Investment Bank,Banque internationale d'investissement,multilateral
1038,UN Institute for Disarmament Research,Institut des Nations unies pour la recherche sur le désarmement,multilateral
1311,Global Alliance for Vaccines and Immunization,Alliance mondiale pour les vaccins et la vaccination,multilateral
1312,Global Fund,Fonds mondial,multilateral
1313,Global Green Growth Institute,Institut mondial de la croissance verte,multilateral
30,Cyprus,Chypre,non-DAC
45,Malta,Malte,non-DAC
55,Turkey,Turquie,non-DAC
62,Croatia,Croatie,non-DAC
70,Liechtenstein,Liechtenstein,non-DAC
72,Bulgaria,Bulgarie,non-DAC
77,Romania,Roumanie,non-DAC
82,Estonia,Estonie,non-DAC
83,Latvia,Lettonie,non-DAC
84,Lithuania,Lituanie,non-DAC
87,Russia,Russie,non-DAC
130,Algeria,Algérie,non-DAC
133,Libya,Libye,non-DAC
358,Mexico,Mexique,non-DAC
543,Iraq,Irak,non-DAC
546,Israel,Israël,non-DAC
552,Kuwait,Koweit,non-DAC
561,Qatar,Qatar,non-DAC
566,Saudi Arabia,Arabie saoudite,non-DAC
576,United Arab Emirates,Emirats arabes unis,non-DAC
611,Azerbaijan,Azerbaïdjan,non-DAC
613,Kazakhstan,Kazakhstan,non-DAC
732,Chinese Taipei,Taipei chinois,non-DAC
764,Thailand,Thaïlande,non-DAC
765,Timor-Leste,Timor oriental,non-DAC
1601,Bill & Melinda Gates Foundation,Fondation Bill et Melinda Gates,private
1602,Dutch Postcode Lottery,Dutch Postcode Lottery,private
1603,Swedish Postcode Lottery,Swedish Postcode Lottery,private
1604,People's Postcode Lottery,People's Postcode Lottery,private
1605,MetLife Foundation,Fondation MetLife,private
1606,MasterCard Foundation,Fondation MasterCard,private
1607,Grameen Crédit Agricole Foundation,Fondation Grameen Crédit Agricole,private
1608,IKEA Foundation,Fondation IKEA,private
1609,Bernard van Leer Foundation,Fondation Bernard van Leer,private
1610,MAVA Foundation,"MAVA, Fondation pour la nature",private
1611,Oak Foundation,Fondation Oak,private
1612,H&M Foundation,Fondation H&M,private
1613,Laudes Foundation,Fondation Laudes,private
1614,Charity Projects Ltd (Comic Relief),Charity Projects Ltd (Comic Relief),private
1615,Children's Investment Fund Foundation,Children's Investment Fund Foundation,private
1616,Gatsby Charitable Foundation,Gatsby Charitable Foundation,private
1617,Conrad N. Hilton Foundation,Fondation Conrad N. Hilton,private
1618,David & Lucile Packard Foundation,Fondation David et Lucile Packard,private
1619,John D. & Catherine T. MacArthur Foundation,Fondation John D. et Catherine T. MacArthur,private
1620,Carnegie Corporation of New York,Carnegie Corporation of New York,private
1621,Michael & Susan Dell Foundation,Fondation Michael et Susan Dell,private
1622,"Omidyar Network Fund, Inc.","Omidyar Network Fund, Inc.",private
1623,Rockefeller Foundation,Fondation Rockefeller,private
1624,William & Flora Hewlett Foundation,Fondation William et Flora Hewlett,private
1625,Arcus Foundation,Fondation Arcus,private
1626,Gordon and Betty Moore Foundation,Fondation Gordon et Betty Moore,private
1627,Ford Foundation,Fondation Ford,private
1628,Wellcome Trust,Wellcome Trust,private
1629,UBS Optimus Foundation,Fondation UBS Optimus,private
1630,World Diabetes Foundation,World Diabetes Foundation,private
1631,McKnight Foundation,Fondation McKnight,private
1632,Citi Foundation,Fondation Citi,private
1633,LEGO Foundation,Fondation LEGO,private
1634,Norwegian Postcode Lottery,Norwegian Postcode Lottery,private
1635,BBVA Microfinance Foundation,Fondation Microfinance BBVA,private
1636,Jacobs Foundation,Fondation Jacobs,private
1637,Arcadia Fund,Fonds Arcadia,private
1638,Margaret A. Cargill Foundation,Fondation Margaret A. Cargill,private
1639,La Caixa Banking Foundation,Fondation la Caixa,private